Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,PLR_ID,PLR_NAME,BEZ,STAND,GROESSE_M2
,,,,,,"-1","0","-1",,,"02200212",Graefekiez Süd,"02",01.01.2021,391146.547
,,,,,,"-1","0","-1",,,"05200524",Döberitzer Weg,"05",01.01.2021,1660861.495
,,,,,,"-1","0","-1",,,"03400826",Tiroler Viertel,"03",01.01.2021,658965.37
,,,,,,"-1","0","-1",,,"01300836",Humboldthain Nordwest,"01",01.01.2021,1441436.944
,,,,,,"-1","0","-1",,,"11100101",Dörfer Malchow-Wartenberg,"11",01.01.2021,8450640.742
,,,,,,"-1","0","-1",,,"10300733",Alt-Biesdorf,"10",01.01.2021,2398113.275
,,,,,,"-1","0","-1",,,"08100419",Treptower Straße Nord,"08",01.01.2021,430615.948
,,,,,,"-1","0","-1",,,"05200633",Graetschelsteig,"05",01.01.2021,491044.917
,,,,,,"-1","0","-1",,,"07601544",John-Locke-Straße,"07",01.01.2021,1123866.856
,,,,,,"-1","0","-1",,,"06200423",Schütte-Lanz-Straße,"06",01.01.2021,1741827.825
,,,,,,"-1","0","-1",,,"06300525",Zehlendorf Süd,"06",01.01.2021,1313473.565
,,,,,,"-1","0","-1",,,"03501037",Rathaus Weißensee,"03",01.01.2021,1745019.881
,,,,,,"-1","0","-1",,,"11401136",Volkradstraße,"11",01.01.2021,797319.282
,,,,,,"-1","0","-1",,,"07501032",Imbrosweg,"07",01.01.2021,1232156.602
,,,,,,"-1","0","-1",,,"09100203",Plänterwald Ost,"09",01.01.2021,2145011.963
,,,,,,"-1","0","-1",,,"05300839",Rohrdamm,"05",01.01.2021,1217866.308
,,,,,,"-1","0","-1",,,"09401432",Siedlung Kämmereiheide,"09",01.01.2021,938669.752
,,,,,,"-1","0","-1",,,"05300735",Haveleck,"05",01.01.2021,1032879.049
,,,,,,"-1","0","-1",,,"12601236",Schorfheidestraße,"12",01.01.2021,578276.162
,,,,,,"-1","0","-1",,,"11300724",Roedeliusplatz,"11",01.01.2021,411272.412
,,,,,,"-1","0","-1",,,"01100414",Nordbahnhof,"01",01.01.2021,373026.685
,,,,,,"-1","0","-1",,,"09300923",Kölner Viertel,"09",01.01.2021,1566611.29
,,,,,,"-1","0","-1",,,"02100101",Askanischer Platz,"02",01.01.2021,710730.18
,,,,,,"-1","0","-1",,,"10400939",Alt-Mahlsdorf,"10",01.01.2021,1898860.343
,,,,,,"-1","0","-1",,,"12400617",Alt-Heiligensee,"12",01.01.2021,5358291.836
,,,,,,"-1","0","-1",,,"08200726",Hufeisensiedlung,"08",01.01.2021,988530.849
,,,,,,"-1","0","-1",,,"07100102",Kalckreuthstraße,"07",01.01.2021,516600.183
,,,,,,"-1","0","-1",,,"02400623",Andreasviertel,"02",01.01.2021,921717.463
,,,,,,"-1","0","-1",,,"05400942",Alt-Gatow,"05",01.01.2021,11509680.04
,,,,,,"-1","0","-1",,,"01100309",Oranienburger Straße,"01",01.01.2021,1011373.746
,,,,,,"-1","0","-1",,,"06200313",Lankwitz Kirche,"06",01.01.2021,698873.673
,,,,,,"-1","0","-1",,,"01300733",Gesundbrunnen,"01",01.01.2021,658286.291
,,,,,,"-1","0","-1",,,"12200307",Reinickes Hof,"12",01.01.2021,532920.494
,,,,,,"-1","0","-1",,,"04200309",Neu Westend,"04",01.01.2021,677508.402
,,,,,,"-1","0","-1",,,"06100204",Munsterdamm,"06",01.01.2021,1115946.77
,,,,,,"-1","0","-1",,,"01400939",Glasgower Straße,"01",01.01.2021,364628.689
,,,,,,"-1","0","-1",,,"05100206",Griesingerstraße,"05",01.01.2021,1938153.127
,,,,,,"-1","0","-1",,,"09301227",Karolinenhof,"09",01.01.2021,2356822.331
,,,,,,"-1","0","-1",,,"06400842",Hüttenweg,"06",01.01.2021,2974967.042
,,,,,,"-1","0","-1",,,"07300515",Taunusstraße,"07",01.01.2021,367064.158
,,,,,,"-1","0","-1",,,"02500834",Revaler Straße,"02",01.01.2021,494573.77
,,,,,,"-1","0","-1",,,"05200634",Börnicker Straße,"05",01.01.2021,3734108.559
,,,,,,"-1","0","-1",,,"09401635",Müggelheim,"09",01.01.2021,22214559.98
,,,,,,"-1","0","-1",,,"03601347",Helmholtzplatz,"03",01.01.2021,297839.94
,,,,,,"-1","0","-1",,,"04300413",Klausenerplatz,"04",01.01.2021,478697.437
,,,,,,"-1","0","-1",,,"06300629",Botanischer Garten,"06",01.01.2021,1416782.425
,,,,,,"-1","0","-1",,,"08401245",Frauenviertel,"08",01.01.2021,471887.705
,,,,,,"-1","0","-1",,,"07300618",Ceciliengärten,"07",01.01.2021,567656.424
,,,,,,"-1","0","-1",,,"05100102",Am Forstacker,"05",01.01.2021,320904.583
,,,,,,"-1","0","-1",,,"09301025",Alt-Bohnsdorf,"09",01.01.2021,5534318.435
,,,,,,"-1","0","-1",,,"09200613",Bahnhof Schöneweide,"09",01.01.2021,1905365.32
,,,,,,"-1","0","-1",,,"03100102",Klinikum Buch,"03",01.01.2021,2732305.923
,,,,,,"-1","0","-1",,,"08100520",Weiße Siedlung,"08",01.01.2021,1120618.029
,,,,,,"-1","0","-1",,,"06300527",Sundgauer Straße,"06",01.01.2021,979984.266
,,,,,,"-1","0","-1",,,"10100104",Golliner Straße,"10",01.01.2021,885234.901
,,,,,,"-1","0","-1",,,"09100202",Plänterwald West,"09",01.01.2021,854058.97
,,,,,,"-1","0","-1",,,"07400824",Bosepark,"07",01.01.2021,636900.462
,,,,,,"-1","0","-1",,,"07400822",Lindenhofsiedlung,"07",01.01.2021,1453428.626
,,,,,,"-1","0","-1",,,"10100207",Ahrensfelder Berge,"10",01.01.2021,1099130.226
,,,,,,"-1","0","-1",,,"09100305",Baumschulenweg Ost,"09",01.01.2021,496802.575
,,,,,,"-1","0","-1",,,"11400930",Zachertstraße,"11",01.01.2021,404076.256
,,,,,,"-1","0","-1",,,"07501133",Fritz-Werner-Straße,"07",01.01.2021,1756161.582
,,,,,,"-1","0","-1",,,"09401431",Allende I,"09",01.01.2021,513546.383
,,,,,,"-1","0","-1",,,"04400834",Binger Straße,"04",01.01.2021,423122.92
,,,,,,"-1","0","-1",,,"06400839",Fischerhüttenstraße,"06",01.01.2021,1832730.063
,,,,,,"-1","0","-1",,,"07400928",Germaniagarten,"07",01.01.2021,660309.401
,,,,,,"-1","0","-1",,,"10200418",Kyritzer Straße,"10",01.01.2021,642564.559
,,,,,,"-1","0","-1",,,"02500727",Forckenbeckplatz,"02",01.01.2021,338013.859
